PreUniversity Level,Topics,Sources
,Classical Definition of Probability,
,Addition Theorem of Probability,
,Conditional Probability,
,Multiplication Theorem of Probability,
,Independent and Dependent Events,
,Bayes’ Theorem (Basic Level),
,Probability Distribution (Discrete Only),
,Bernoulli Trials and Binomial Distribution,
,Application-Based Word Problems on Probability,
Statistics,"Measures of central tendency (mean, median, mode for grouped and ungrouped data)",https://drive.google.com/file/d/1Rv_vuL-ZFmrnNFOSTSru7ejpejWG64A6/view?usp=drive_link
,"Measures of dispersion (range, mean deviation, variance, standard deviation)",
,Combined mean and combined variance,
,Analysis of frequency distributions,
,"Correlation (Karl Pearson’s method, Spearman’s rank correlation)",
,Linear regression (line of best fit using the least squares method),
,Probability distribution of a random variable (basic level),
,Binomial distribution (basic properties and applications),
,"Use of statistical tables (mean, standard deviation, z-scores)",
,Application-based word problems using real data sets,
UG LEVEL,,
Algebra,Group Theory (Basic Concepts and Examples),https://www.maths.gla.ac.uk/~mwemyss/teaching/3alg1-7.pdf
,"Ring Theory (Definitions, Examples, Ideals)",https://www.ms.uky.edu/~sohum/ma561/notes/note2.pdf
,Field Theory and Extensions,"https://home.iitm.ac.in/anujjakhar/field.pdf
https://mdu.ac.in/UpFiles/UpPdfFiles/2021/Jun/4_06-28-2021_11-45-05_Theory%20of%20Field%20Extensions_(20MAT22C1).pdf"
,Vector Spaces and Linear Transformations,https://www.math.hkust.edu.hk/~mabfchen/Math111/Week7-9.pdf
,Matrix Theory and Linear Algebra,https://www.mathstat.dal.ca/~selinger/linear-algebra/downloads/LinearAlgebra.pdf
,Polynomial Rings and Factorization,"https://www.math.uci.edu/~ndonalds/math120b/2poly.pdf
https://people.reed.edu/~jerry/332/19poly.pdf"
,Modules over Rings,"https://ocw.mit.edu/courses/res-18-012-algebra-ii-student-notes-spring-2022/mit18_702s22_lect19.pdf
https://www.maths.gla.ac.uk/~jnicholson/algebra3-notes.pdf"
,Galois Theory (Basic Concepts),https://public.csusm.edu/aitken_html/Essays/GaloisTheory/GaloisEssay1.pdf
,Homomorphisms and Isomorphisms in Algebraic Structures,https://www.math.clemson.edu/~macaule/classes/m20_math4120/slides/math4120_lecture-4-01_h.pdf
,Solving Systems of Linear Equations (Eigenvalues and Eigenvectors),https://www.math.unl.edu/~mbrittenham2/classwk/221s03/inclass/linear_systems.pdf
,"Algebraic Structures: Monoids, Semigroups",https://boltje.math.ucsc.edu/courses/f15/f15m200notes.pdf
,"Canonical Forms (Jordan, Rational)",https://cseweb.ucsd.edu/~gill/CILASite/Resources/12Chap8.pdf
,Applications of Algebra in Cryptography and Coding Theory (Introductory),https://digscholarship.unco.edu/cgi/viewcontent.cgi?article=1067&context=honors
Calculus,"Multivariable Calculus (Partial Derivatives, Gradient, Divergence, Curl)","https://www.lehman.edu/faculty/anchordoqui/VC-3.pdf
"
,Multiple Integrals (Double and Triple Integrals),https://ocw.mit.edu/ans7870/textbooks/Strang/Edited/Calculus/14.pdf
,"Vector Calculus (Line Integrals, Surface Integrals, Green’s, Stokes’, and Divergence Theorems)",https://www.lehman.edu/faculty/anchordoqui/VC-4.pdf
,Advanced Techniques of Integration,https://zaidalyafeai.wordpress.com/wp-content/uploads/2015/09/advanced-integration-techniques6.pdf
,"Sequences and Series (Taylor, Maclaurin Series, Fourier Series)",https://www.brunel.ac.uk/~icsrsss/teaching/ma2730/lec/ma2730.pdf
,"Ordinary Differential Equations (Higher Order, Systems of ODEs)",https://www.mat.univie.ac.at/~gerald/ftp/book-ode/ode.pdf
,Introduction to Partial Differential Equations,"https://www.sgo.fi/~j/baylie/An%20Introduction%20to%20Partial%20Differential%20Equations%20-%20Y.%20Pinchover,%20J.%20Rubenstein%20(Cambridge,%202005)%20WW.pdf"
,Differential Forms and Integration on Manifolds (Introductory),https://www.math.purdue.edu/~arapura/preprints/diffforms.pdf
,Vector Fields and Flow,https://www.ias.edu/sites/default/files/video/IAS-20-04-13.pdf
,Implicit and Inverse Function Theorems,https://amath.colorado.edu/faculty/martinss/Teaching/APPM5450_2006s/implicit_function_thm.pdf
Trigonometry and Geometry,Advanced Trigonometric Functions,"https://www.slcc.edu/math/docs/oer-trigonometry.pdf

https://lib.alfaisal.edu/pdf/AlgebraAndTrigonometry-LR.pdf

https://upload.wikimedia.org/wikipedia/commons/5/54/Analytic_geometry_of_space_%28IA_analygeomspace00snydrich%29.pdf

https://www.uni-frankfurt.de/64271720/TopNotes_Spring10.pdf


"
,Inverse Trigonometric Functions & Their Properties,
,Trigonometric Series and Expansions,
,Hyperbolic Functions and Identities,
,Spherical Trigonometry,
,Vector Geometry in 2D and 3D,
,Analytic Geometry of Space,
,Geometry of Conic Sections (Advanced Study),
,"Transformation Geometry (Translation, Rotation, Reflection, Scaling)",
,Coordinate Geometry (Higher Dimensions),
,"Differential Geometry (Curvature, Torsion of Curves)",
,"Projective Geometry (Homogeneous Coordinates, Cross-Ratio)",
,Affine Geometry,
,Euclidean and Non-Euclidean Geometries,
,Topology of Surfaces (Introductory Concepts),
,Geometry Using Complex Numbers,
,Line and Surface Integrals in Geometry,
,"Geometric Interpretations in Linear Algebra (e.g., Inner Product Spaces)",
Probability,Axiomatic definition of probability,"


https://vfu.bg/en/e-Learning/Math--Bertsekas_Tsitsiklis_Introduction_to_probability.pdf

https://mu.ac.in/wp-content/uploads/2021/10/probability-theory.pdf"
,Sample spaces and sigma-algebras,
,Set functions and probability measures,
,Conditional probability and independence,
,Bayes’ theorem (advanced applications),
,Random variables (discrete and continuous),
,Probability mass function (PMF) and probability density function (PDF),
,Cumulative distribution functions (CDFs),
,"Joint, marginal, and conditional distributions",
,Functions of random variables,
,Expectation and moments,
,Moment generating functions (MGFs),
,Chebyshev’s inequality and Markov's inequality,
,Law of large numbers (weak and strong forms),
,Central limit theorem (CLT),
,"Common distributions: binomial, Poisson, geometric, hypergeometric, uniform, normal, exponential, gamma, beta",
,Transformations of random variables,
,Order statistics,
,Covariance and correlation,
,Joint moments and multivariate distributions,
,Conditional expectation,
,"Inequalities in probability (Jensen's, Hölder's, Minkowski's)",
Statistics,Descriptive statistics (measures of central tendency and dispersion),"https://intranet.missouriwestern.edu/cas/wp-content/uploads/sites/17/2020/05/Measures-of-Central-Tendency-2014.pdf
https://www.igntu.ac.in/eContent/IGNTU-eContent-467281593500-B.Com-4-Prof.ShailendraSinghBhadouriaDean&-BUSINESSSTATISTICS-All.pdf
https://egyankosh.ac.in/bitstream/123456789/73732/1/Block-2.pdf
https://www.lkouniv.ac.in/site/writereaddata/siteContent/202003241550010566rajeev_pandey_Probability_Theory.pdf
""https://egyankosh.ac.in/bitstream/123456789/90495/1/Unit-12.pdf
https://mgcub.ac.in/pdf/material/20200402172056158c70545b.pdf
https://www.lboro.ac.uk/media/media/schoolanddepartments/mlsc/downloads/HELM%20Workbook%2042%20Goodness%20of%20Fit%20and%20Contingency%20Tables.pdf
https://www.sas.com/storefront/aux/en/spmultdatared/56902_excerpt.pdf"""
,"Moments, skewness, and kurtosis",
,Correlation and regression (simple and multiple),
,Probability theory and distributions,
,Sampling techniques and survey methodology,
,"Sampling distributions (t, chi-square, F distributions)",
,Estimation theory (point and interval estimation),
,"Properties of estimators (unbiasedness, consistency, efficiency, sufficiency)",
,Method of moments and maximum likelihood estimation (MLE),
,"Hypothesis testing (Z, t, chi-square, and F tests)",
,"Tests of significance (single and two-sample tests for mean, variance, proportion)",
,Analysis of variance (ANOVA) – one-way and two-way,
,"Non-parametric tests (Sign test, Wilcoxon, Kruskal-Wallis, Mann-Whitney U test)",
,Goodness-of-fit tests and contingency tables,
,"Time series analysis (trend, seasonal variations, cyclic variations)",
,Index numbers and their construction,
,Statistical quality control (control charts for variables and attributes),
,"Experimental design (CRD, RBD, LSD)",
,Multivariate statistics (introductory concepts),
