Domain,Title ,URL
Analytical Chemistry,Fragmentation of Oligosaccharides: Mechanistic Insights for Glycomics,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/683575da3ba0887c3337afa7/original/fragmentation-of-oligosaccharides-mechanistic-insights-for-glycomics.pdf
Analytical Chemistry,RGB Color Correction and Gamut Limitations in Smartphone-Based Kinetic Analysis of Chemical Reactions,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/681e85de50018ac7c53d7709/original/rgb-color-correction-and-gamut-limitations-in-smartphone-based-kinetic-analysis-of-chemical-reactions.pdf
Analytical Chemistry,Elucidating Interfacial Charge-Transfer Dynamics of Ti3C2Tx Electrodes via Advanced Distribution of Relaxation Times (DRT) Analysis,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/682c3807c1cb1ecda0545581/original/elucidating-interfacial-charge-transfer-dynamics-of-ti3c2tx-electrodes-via-advanced-distribution-of-relaxation-times-drt-analysis.pdf
Analytical Chemistry,A middle-down NMR protocol for therapeutic mAb glycan profiling,https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/682cbcba3ba0887c33e572f8/original/a-middle-down-nmr-protocol-for-therapeutic-m-ab-glycan-profiling.pdf
Analytical Chemistry,Micro-electrode based MoS2-Aptamer Functionalised Electrochemical Sensor for Trace Cadmium(II) Detection in Water,https://s3.eu-west-1.amazonaws.com/assets.prod.orp.cambridge.org/18/34893c04344ac29070694558425162.pdf?AWSAccessKeyId=ASIA5XANBN3JMJ4XZYKK&Expires=1748860094&Signature=PDjZ%2BSp2lREMFyxRkpU1IlKZOy8%3D&response-cache-control=no-store&response-content-disposition=inline%3B%20filename%20%3D%22micro-electrode-based-mo-s2-aptamer-functionalised-electrochemical-sensor-for-trace-cadmium-ii-detection-in-water.pdf%22&response-content-type=application%2Fpdf&x-amz-security-token=FwoGZXIvYXdzEDQaDMbTFUY66ZZ7dqe9ZSKtAUa886Cruwwk1AWjAo%2FXBjnxrD0idqZa6gjdila3yv%2BPP8FLJaEzOuZUgW6cS7bU2cygmNTDEwN%2B%2BXJq1HAgGFqBopK2qSxU7zxY%2Ba7RtS44EVxSZOc2tQ77UcdB78ubaNM0p6qdQkM%2FM17lC0Ytnug0CBcYqjN91l02KYJtKK%2B21jYsC%2B52%2Fe7XYZNLo4GzNHzFoKppABqGMYogouwPxgjRmV4aJ1MJdx21WGbyKNjz9cEGMi2ITdBcY%2FpbjvYTCHEayX7vY6lZdWDG52mlwLl8UetznNe11Hkse7%2F311TXch0%3D
Biochemistry,High-Throughput Screening to Identify Novel Compounds Affecting the Genome Editing Efficiency of CRISPR System,https://www.mdpi.com/1420-3049/30/8/1811/[p
Biochemistry,Inhibitors of SARS-CoV-2 Main Protease (Mpro) as Anti-Coronavirus Agents,https://www.mdpi.com/2218-273X/14/7/797
Biochemistry,Characterization of a Macrocyclase Involved in the Biosynthesis of RiPP Cyclic Peptides in Plants,https://www.pnas.org/doi/epdf/10.1073/pnas.1620499114
Biochemistry,"Saccharomyces cerevisiae, a Powerful Model for Studying rRNA Modifications and Their Effects on Translation Fidelity",https://www.mdpi.com/1422-0067/22/14/7419
Biochemistry,Rational Approach toward COVID-19’s Main Protease Inhibitors: A Hierarchical Biochemoinformatics Analysis,https://www.mdpi.com/1422-0067/25/12/6715
Biochemistry,Single-cell RNA sequencing reveals peripheral immunological features in Parkinson’s Disease,https://www.nature.com/articles/s41531-024-00790-3
Biochemistry,Statine-based peptidomimetic compounds as inhibitors for SARS-CoV-2 main protease (SARS-CoV‑2 Mpro),https://www.nature.com/articles/s41598-024-59442-4
Biochemistry,"Novel Epigenetic Techniques Provided by the CRISPR/Cas9 System
",https://onlinelibrary.wiley.com/doi/10.1155/2018/7834175
Biochemistry,Structural basis for the inhibition of SARS-CoV-2 main protease by antineoplastic drug carmofur,https://www.nature.com/articles/s41594-020-0440-6
Physical Chemistry,Operando pair distribution function analysis of nanocrystalline functional materials: the case of TiO₂-bronze nanocrystals in Li-ion battery electrodes,https://arxiv.org/pdf/2312.04378
Physical Chemistry,Non-Covalent Dimerization after Enediyne Cyclization on Au(111),https://arxiv.org/pdf/2012.00494
Physical Chemistry,Ternary Nitride Materials: Fundamentals and Emerging Device Applications,https://arxiv.org/pdf/2010.08058
Physical Chemistry,3D Metal-Organic Frameworks for Gas Sorption and Separation: A Thermodynamic Study,https://arxiv.org/pdf/2305.17566
Physical Chemistry,"Unveiling the Impact of Organic Cation
Passivation on Structural and Optoelectronic
Properties of Two-Dimensional Perovskites Thin
Films",https://arxiv.org/pdf/2409.01450
Physical Chemistry," An appraisal of Understanding Pressure Effects on Structural, Optical, and Magnetic Properties of CsMnF₄ and Other 3dⁿ Compounds",https://arxiv.org/pdf/2503.21451
Physical Chemistry, Hybrid organic-inorganic two-dimensional metal carbide MXenes with amido- and imido-terminated surfaces,https://arxiv.org/pdf/2305.17566
Physical Chemistry,An Appraisal of Pressure Effects on CsMnF₄ and 3dⁿ Compounds,https://arxiv.org/pdf/2503.21451
Physical Chemistry,"Bubble-Burst Synthesis of Ammonia, Amino Acids, and Urea Under Ambient, Catalyst-Free Conditions",https://arxiv.org/pdf/2505.23850
Physical Chemistry,"FDTD with Auxiliary Bath Fields for Condensed-Phase Polaritonics: Fundamentals and Implementation",https://arxiv.org/pdf/2505.23963
